symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
IRCTC,2021-11-12,2021-11-16,827.3,881.06,6.5,PARTIAL_EXIT_50%
IRCTC,2021-11-12,2021-11-23,827.3,854.04,3.23,TIME_EXIT_RUNNER
IRCTC,2022-11-28,2022-11-29,697.63,694.84,-0.4,MOMENTUM_FADE
IRFC,2024-08-12,2024-08-13,178.29,175.48,-1.58,MOMENTUM_FADE
ITC,2022-04-28,2022-05-09,216.26,217.79,0.71,TIME_EXIT
JINDALSTEL,2022-12-26,2022-12-27,524.57,571.83,9.01,TARGET_HIT
JINDALSTEL,2025-10-09,2025-10-13,1040.3,1007.6,-3.14,MOMENTUM_FADE
JINDALSTEL,2026-03-12,2026-03-13,1225.0,1143.3,-6.67,STOP_LOSS
JSWENERGY,2022-04-18,2022-04-27,334.63,334.77,0.04,TIME_EXIT
JSWENERGY,2023-05-30,2023-06-08,257.22,262.2,1.93,TIME_EXIT
JSWENERGY,2023-07-28,2023-08-08,289.99,288.75,-0.43,TIME_EXIT
JSWENERGY,2024-02-19,2024-02-28,495.65,503.94,1.67,TIME_EXIT
JSWENERGY,2024-05-30,2024-06-03,604.61,656.11,8.52,TARGET_HIT
JSWSTEEL,2025-02-11,2025-02-20,951.94,978.52,2.79,TIME_EXIT
JUBLFOOD,2023-10-11,2023-10-20,529.48,525.0,-0.85,TIME_EXIT
KOTAKBANK,2025-04-11,2025-04-21,421.75,447.76,6.17,PARTIAL_EXIT_50%
KOTAKBANK,2025-04-11,2025-04-22,421.75,453.24,7.46,TIME_EXIT_RUNNER
LAURUSLABS,2023-12-13,2023-12-22,379.85,412.92,8.71,TARGET_HIT
LAURUSLABS,2025-06-20,2025-06-27,650.46,701.22,7.8,PARTIAL_EXIT_50%
LAURUSLABS,2025-06-20,2025-06-30,650.46,724.25,11.34,TARGET_HIT_RUNNER
LAURUSLABS,2025-11-26,2025-12-05,986.6,1026.1,4.0,TIME_EXIT
LICI,2024-04-15,2024-04-24,943.84,972.5,3.04,TIME_EXIT
LODHA,2022-06-17,2022-06-28,520.61,510.85,-1.88,TIME_EXIT
LODHA,2023-08-16,2023-08-24,708.71,677.51,-4.4,STOP_LOSS
LODHA,2024-12-23,2025-01-01,1435.27,1360.32,-5.22,STOP_LOSS
LODHA,2025-04-30,2025-05-09,1324.93,1230.24,-7.15,STOP_LOSS
LT,2021-10-28,2021-11-04,1741.11,1831.99,5.22,PARTIAL_EXIT_50%
LT,2021-10-28,2021-11-08,1741.11,1846.96,6.08,TIME_EXIT_RUNNER
LT,2025-08-21,2025-08-26,3612.6,3541.3,-1.97,MOMENTUM_FADE
LUPIN,2023-10-30,2023-10-31,1128.35,1116.28,-1.07,MOMENTUM_FADE
LUPIN,2024-03-21,2024-04-01,1594.7,1606.67,0.75,TIME_EXIT
LUPIN,2026-01-27,2026-02-05,2150.5,2218.5,3.16,TIME_EXIT
M&M,2024-01-09,2024-01-16,1605.16,1595.75,-0.59,MOMENTUM_FADE
MARICO,2021-09-20,2021-09-29,534.18,521.0,-2.47,TIME_EXIT
MARICO,2023-06-20,2023-06-21,518.46,509.8,-1.67,MOMENTUM_FADE
MARICO,2024-10-08,2024-10-17,687.36,656.04,-4.56,STOP_LOSS
MAXHEALTH,2022-04-29,2022-05-02,411.97,389.68,-5.41,STOP_LOSS
MAXHEALTH,2024-01-09,2024-01-18,714.14,702.87,-1.58,TIME_EXIT
MAXHEALTH,2025-02-07,2025-02-10,1141.88,1070.61,-6.24,STOP_LOSS
MAXHEALTH,2025-06-20,2025-06-27,1212.4,1277.83,5.4,PARTIAL_EXIT_50%
MAXHEALTH,2025-06-20,2025-07-01,1212.4,1278.22,5.43,TIME_EXIT_RUNNER
MUTHOOTFIN,2023-12-11,2023-12-15,1395.27,1436.79,2.98,RSI_OVERBOUGHT
MUTHOOTFIN,2025-03-27,2025-04-07,2290.27,2208.37,-3.58,TIME_EXIT
MUTHOOTFIN,2025-10-28,2025-11-06,3155.32,3157.11,0.06,TIME_EXIT
NAUKRI,2023-05-31,2023-06-09,803.64,817.3,1.7,TIME_EXIT
NAUKRI,2024-08-07,2024-08-16,1398.48,1471.73,5.24,PARTIAL_EXIT_50%
NAUKRI,2024-08-07,2024-08-19,1398.48,1466.89,4.89,TIME_EXIT_RUNNER
NAUKRI,2024-12-30,2025-01-08,1731.38,1636.86,-5.46,STOP_LOSS
NESTLEIND,2025-05-08,2025-05-19,1159.19,1192.42,2.87,TIME_EXIT
NTPC,2024-01-24,2024-01-29,291.58,306.4,5.08,PARTIAL_EXIT_50%
NTPC,2024-01-24,2024-02-02,291.58,313.91,7.66,TIME_EXIT_RUNNER
NTPC,2024-08-05,2024-08-14,393.95,380.82,-3.33,TIME_EXIT
ONGC,2022-01-24,2022-02-02,127.73,132.05,3.38,TIME_EXIT
ONGC,2024-02-27,2024-03-05,242.65,255.62,5.35,PARTIAL_EXIT_50%
ONGC,2024-02-27,2024-03-07,242.65,250.53,3.25,TIME_EXIT_RUNNER
PAYTM,2023-04-28,2023-05-05,653.6,689.6,5.51,PARTIAL_EXIT_50%
PAYTM,2023-04-28,2023-05-08,653.6,723.25,10.66,TARGET_HIT_RUNNER
PAYTM,2023-08-04,2023-08-07,796.6,850.7,6.79,PARTIAL_EXIT_50%
PAYTM,2023-08-04,2023-08-11,796.6,864.55,8.53,TARGET_HIT_RUNNER
PAYTM,2024-09-24,2024-10-01,680.95,731.35,7.4,PARTIAL_EXIT_50%
PAYTM,2024-09-24,2024-10-03,680.95,727.55,6.84,TIME_EXIT_RUNNER
PERSISTENT,2023-03-17,2023-03-20,2279.65,2233.58,-2.02,MOMENTUM_FADE
PERSISTENT,2024-02-29,2024-03-05,4264.71,4075.94,-4.43,STOP_LOSS
PERSISTENT,2025-02-03,2025-02-11,6038.75,5791.9,-4.09,STOP_LOSS
PETRONET,2021-10-20,2021-10-29,189.5,188.35,-0.61,TIME_EXIT
PETRONET,2024-09-04,2024-09-06,344.33,334.78,-2.77,MOMENTUM_FADE
PIDILITIND,2024-10-03,2024-10-07,1638.65,1565.9,-4.44,STOP_LOSS
PIIND,2021-09-29,2021-09-30,3196.62,3132.36,-2.01,MOMENTUM_FADE
PIIND,2022-04-28,2022-05-04,2859.92,2738.16,-4.26,STOP_LOSS
PIIND,2022-11-28,2022-12-07,3379.4,3424.53,1.34,TIME_EXIT
PNB,2022-02-07,2022-02-11,38.69,36.88,-4.68,STOP_LOSS
PNB,2024-12-13,2024-12-18,104.7,100.13,-4.36,STOP_LOSS
PNB,2025-07-11,2025-07-22,110.21,109.33,-0.8,TIME_EXIT
PNB,2025-08-11,2025-08-20,106.54,107.11,0.54,TIME_EXIT
POLYCAB,2023-05-11,2023-05-12,3184.42,3335.71,4.75,RSI_OVERBOUGHT
POWERGRID,2022-11-07,2022-11-09,144.49,138.63,-4.06,STOP_LOSS
POWERGRID,2026-03-09,2026-03-18,295.2,299.4,1.42,TIME_EXIT
SAIL,2024-07-15,2024-07-18,148.99,144.93,-2.72,MOMENTUM_FADE
SBICARD,2025-02-12,2025-02-13,811.13,854.3,5.32,PARTIAL_EXIT_50%
SBICARD,2025-02-12,2025-02-18,811.13,859.76,6.0,RSI_OVERBOUGHT_RUNNER
SBILIFE,2023-08-04,2023-08-08,1261.47,1342.51,6.42,PARTIAL_EXIT_50%
SBILIFE,2023-08-04,2023-08-16,1261.47,1284.75,1.85,TIME_EXIT_RUNNER
SBILIFE,2023-12-21,2023-12-22,1396.63,1387.23,-0.67,MOMENTUM_FADE
SBILIFE,2025-06-13,2025-06-24,1752.76,1840.44,5.0,PARTIAL_EXIT_50%
SBILIFE,2025-06-13,2025-06-25,1752.76,1840.14,4.99,TIME_EXIT_RUNNER
SBIN,2024-03-20,2024-04-01,709.85,731.11,2.99,TIME_EXIT
SBIN,2024-04-16,2024-04-25,724.75,783.56,8.11,TARGET_HIT
SBIN,2026-03-02,2026-03-06,1189.9,1143.0,-3.94,STOP_LOSS
SIEMENS,2022-01-10,2022-01-19,1333.02,1370.86,2.84,TIME_EXIT
SYNGENE,2023-08-21,2023-08-25,807.81,763.53,-5.48,STOP_LOSS
SYNGENE,2024-08-20,2024-08-29,827.64,852.15,2.96,TIME_EXIT
SYNGENE,2024-09-19,2024-09-30,900.35,896.66,-0.41,TIME_EXIT
TATACONSUM,2023-07-11,2023-07-20,828.41,860.74,3.9,TIME_EXIT
TATACONSUM,2024-08-05,2024-08-14,1190.58,1158.96,-2.66,TIME_EXIT
TATASTEEL,2022-08-26,2022-09-06,99.58,100.74,1.16,TIME_EXIT
TATASTEEL,2023-10-10,2023-10-19,120.03,120.7,0.56,TIME_EXIT
TCS,2024-01-31,2024-02-06,3578.64,3878.78,8.39,TARGET_HIT
TECHM,2021-11-29,2021-12-02,1337.55,1418.5,6.05,PARTIAL_EXIT_50%
TECHM,2021-11-29,2021-12-08,1337.55,1396.87,4.43,TIME_EXIT_RUNNER
TECHM,2023-08-29,2023-09-07,1120.87,1187.54,5.95,PARTIAL_EXIT_50%
TECHM,2023-08-29,2023-09-08,1120.87,1181.64,5.42,TIME_EXIT_RUNNER
TECHM,2024-02-06,2024-02-14,1277.7,1222.71,-4.3,STOP_LOSS
TITAN,2023-10-31,2023-11-09,3169.71,3263.22,2.95,TIME_EXIT
TITAN,2026-03-10,2026-03-11,4220.1,4140.3,-1.89,MOMENTUM_FADE
TORNTPHARM,2021-10-25,2021-10-26,1455.21,1389.27,-4.53,STOP_LOSS
TORNTPHARM,2025-08-07,2025-08-18,3572.21,3626.73,1.53,TIME_EXIT
TORNTPHARM,2025-11-24,2025-12-03,3693.08,3695.56,0.07,TIME_EXIT
TRENT,2021-09-23,2021-10-04,1001.87,1041.28,3.93,TIME_EXIT
TRENT,2022-04-19,2022-04-28,1243.36,1220.76,-1.82,TIME_EXIT
TRENT,2022-08-30,2022-09-08,1403.01,1402.81,-0.01,TIME_EXIT
TRENT,2025-06-18,2025-06-23,5735.0,6120.0,6.71,PARTIAL_EXIT_50%
TRENT,2025-06-18,2025-06-27,5735.0,6019.5,4.96,TIME_EXIT_RUNNER
TVSMOTOR,2022-09-30,2022-10-03,1015.36,979.21,-3.56,MOMENTUM_FADE
TVSMOTOR,2024-10-08,2024-10-17,2719.73,2658.89,-2.24,TIME_EXIT
UNITDSPR,2025-11-11,2025-11-20,1408.13,1409.83,0.12,TIME_EXIT
VOLTAS,2023-08-14,2023-08-23,817.83,828.68,1.33,TIME_EXIT
VOLTAS,2023-09-25,2023-10-04,867.72,864.55,-0.37,TIME_EXIT
WIPRO,2024-01-12,2024-01-15,217.69,231.33,6.26,PARTIAL_EXIT_50%
WIPRO,2024-01-12,2024-01-23,217.69,219.77,0.96,TIME_EXIT_RUNNER
ZEEL,2021-10-26,2021-10-27,305.16,291.51,-4.47,STOP_LOSS
ZEEL,2022-09-07,2022-09-14,250.52,267.72,6.87,PARTIAL_EXIT_50%
ZEEL,2022-09-07,2022-09-16,250.52,253.78,1.3,TIME_EXIT_RUNNER
ZEEL,2022-10-04,2022-10-07,260.58,273.8,5.07,PARTIAL_EXIT_50%
ZEEL,2022-10-04,2022-10-12,260.58,260.34,-0.09,STOP_LOSS_RUNNER
